Latitude (decimal degrees):	49.712
Longitude (decimal degrees):	20.406
Radiation database:	PVGIS-SARAH
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses(%):	14.0
Fixed slope of modules (deg.) (optimum):	39
Orientation (azimuth) of modules (deg.) (optimum):	-4

Fixed angle
Month		E_d		E_m		H(i)_d		H(i)_m		SD_m
1		1.31		40.5		1.49		46.09		13.73
2		1.81		50.63		2.07		58.02		13.63
3		2.7		83.63		3.21		99.45		20.36
4		3.69		110.81		4.57		137.11		17.37
5		3.71		115.12		4.69		145.53		18.49
6		3.74		112.33		4.8		143.96		12.22
7		3.97		123.12		5.18		160.46		17.37
8		3.8		117.78		4.91		152.33		12.65
9		3.32		99.71		4.18		125.39		17.81
10		2.6		80.52		3.15		97.63		18.29
11		1.71		51.18		2.01		60.3		13.25
12		1.22		37.7		1.42		43.88		12.65
Year		2.8		85.25		3.48		105.85		4.5
		AOI loss (%)		Spectral effects (%)		Temperature and low irradiance loss (%)		Combined loss (%)
Fixed angle:		-2.96		1.76		-5.16		-19.45

E_d: Average daily energy production from the given system (kWh/d)
E_m: Average monthly energy production from the given system (kWh/mo)
H(i)_d: Average daily sum of global irradiation per square meter received by the modules of the given system (kWh/m2/d)
H(i)_m: Average monthly sum of global irradiation per square meter received by the modules of the given system (kWh/m2/mo)
SD_m: Standard deviation of the monthly energy production due to year-to-year variation (kWh)


PVGIS (c) European Communities, 2001-2021