Latitude (decimal degrees):	49.626
Longitude (decimal degrees):	20.620
Radiation database:	PVGIS-SARAH
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses(%):	14.0
Fixed slope of modules (deg.) (optimum):	38
Orientation (azimuth) of modules (deg.) (optimum):	0

Fixed angle
Month		E_d		E_m		H(i)_d		H(i)_m		SD_m
1		1.28		39.6		1.46		45.14		11.41
2		1.79		50.24		2.06		57.76		12.78
3		2.77		85.91		3.3		102.23		20.42
4		3.65		109.58		4.56		136.69		16.49
5		3.73		115.53		4.74		147.08		19.0
6		3.74		112.24		4.84		145.05		10.43
7		3.97		123.08		5.22		161.74		17.81
8		3.87		119.91		5.04		156.34		12.78
9		3.33		99.79		4.21		126.25		17.05
10		2.54		78.63		3.09		95.76		16.19
11		1.7		51.02		2.01		60.25		12.41
12		1.26		39.05		1.46		45.3		12.61
Year		2.81		85.38		3.51		106.63		4.28
		AOI loss (%)		Spectral effects (%)		Temperature and low irradiance loss (%)		Combined loss (%)
Fixed angle:		-2.84		1.74		-5.81		-19.93

E_d: Average daily energy production from the given system (kWh/d)
E_m: Average monthly energy production from the given system (kWh/mo)
H(i)_d: Average daily sum of global irradiation per square meter received by the modules of the given system (kWh/m2/d)
H(i)_m: Average monthly sum of global irradiation per square meter received by the modules of the given system (kWh/m2/mo)
SD_m: Standard deviation of the monthly energy production due to year-to-year variation (kWh)


PVGIS (c) European Communities, 2001-2021